# Yan et al. (2024) https://ui.adsabs.harvard.edu/abs/2024ApJ...969...95Y/abstract
              metallicity                   alpha1
-2.399999999999999911e+00 2.299999999999999822e-01
-2.520000000000000018e+00 2.900000000000000355e-01
-2.100000000000000089e+00 1.100000000000000089e+00
-1.199999999999999956e+00 1.219999999999999973e+00
-2.335999999999999854e+00 1.520000000000000018e+00
-2.444999999999999840e+00 2.330000000000000071e+00
-2.523000000000000131e+00 1.189999999999999947e+00
-2.882000000000000117e+00 3.800000000000000044e-01
-2.612999999999999989e+00 3.200000000000000622e-01
-2.509999999999999787e+00 2.900000000000000355e-01
-2.444999999999999840e+00 1.459999999999999964e+00
-2.689999999999999947e+00 1.489999999999999991e+00
-2.279999999999999805e+00 1.939999999999999947e+00
