#Yan,Jerabkova,Kroupa(2023)
No.,Designation,log10_M_ecl,p_log10_M_ecl,m_log10_M_ecl,log10_m_max,p_log10_m_max,m_log10_m_max,Age[Myr],References
1,TaurusNo.1,0.930,+0.176,-0.301,0.254,+0.176,-0.301,1-2,1
2,TaurusNo.2,1.077,+0.176,-0.301,0.512,+0.176,-0.301,1-2,1
3,TaurusNo.4,1.215,+0.176,-0.301,0.512,+0.176,-0.301,1-2,1
4,TaurusNo.6,1.091,+0.176,-0.301,0.425,+0.176,-0.301,1-2,1
5,TaurusNo.7,1.140,+0.176,-0.301,0.418,+0.176,-0.301,1-2,1
6,Lupus3No.1,0.989,+0.176,-0.301,0.480,+0.176,-0.301,1-2,1
7,ChaINo.2,1.355,+0.176,-0.301,0.511,+0.176,-0.301,1-2,1
8,ChaINo.3,1.115,+0.176,-0.301,0.512,+0.176,-0.301,1-2,1
9,IC348No.1,1.702,+0.176,-0.301,0.634,+0.176,-0.301,1-2,1
10,No.3,0.845,+0.331,-0.368,-0.046,+0.125,-0.051,2.6\pm0.8,WKP13
11,No.18,1.398,+0.318,-0.319,0.519,+0.115,-0.157,0.6,WKP13
12,No.19,1.447,+0.309,-0.333,0.613,+0.095,-0.121,0.1,WKP13
13,No.21,1.477,+0.176,-0.301,0.580,+0.184,-0.325,1,WKP13
14,No.22,1.491,+0.301,-0.315,0.342,+0.038,-0.041,2,WKP13
15,No.23,1.491,+0.315,-0.315,0.978,+0.101,-0.133,1,WKP13
16,No.24,1.519,+0.320,-0.314,0.845,+0.133,-0.192,1,WKP13
17,No.25,1.519,+0.320,-0.314,1.041,+0.135,-0.196,1,WKP13
18,No.26,1.531,+0.307,-0.327,0.978,+0.101,-0.133,1,WKP13
19,No.30,1.708,+0.314,-0.327,0.845,+0.133,-0.192,1,WKP13
20,No.31,1.740,+0.313,-0.309,0.903,+0.097,-0.125,3,WKP13
21,No.34,1.799,+0.120,-0.166,0.633,+0.166,-0.272,0.1,WKP13
22,No.35,1.826,+0.311,-0.321,1.041,+0.135,-0.196,1,WKP13
23,No.36,1.851,+0.310,-0.320,0.978,+0.101,-0.133,1,WKP13
24,No.37,1.851,+0.848,-0.307,1.176,+0.176,-0.301,0.1-1,WKP13
25,No.38,1.857,+0.310,-0.326,1.041,+0.135,-0.196,1,WKP13
26,No.39,1.863,+0.316,-0.319,1.041,+0.135,-0.196,1,WKP13
27,No.40,1.892,+0.309,-0.324,1.176,+0.125,-0.176,1,WKP13
28,No.42,1.903,+0.325,-0.347,0.602,+0.176,-0.301,1,WKP13
29,No.43,1.903,+0.330,-0.372,0.699,+0.204,-0.398,2,WKP13
30,No.44,1.929,+0.232,-0.531,0.919,+0.423,-0.074,0.1-1,WKP13
31,No.46,1.959,+0.306,-0.306,0.978,+0.101,-0.133,0.1-1,WKP13
32,No.47,1.964,+0.313,-0.330,0.845,+0.133,-0.192,1,WKP13
33,No.48,1.991,+0.312,-0.319,1.176,+0.125,-0.176,1,WKP13
34,No.49,2.021,+0.076,-0.092,0.996,+0.080,-0.098,1,WKP13
35,No.50,2.021,+0.313,-0.314,0.699,+0.079,-0.097,1-3,WKP13
36,No.52,2.045,+0.311,-0.313,0.978,+0.101,-0.133,1,WKP13
37,MYSO052124,2.061,+0.126,-0.126,1.150,+0.130,-0.130,1-2.5,2
38,MYSO045403,2.146,+0.126,-0.126,1.150,+0.130,-0.130,1-2.5,2
39,No.56,2.176,+0.308,-0.307,1.270,+0.111,-0.156,2.5,WKP13
40,No.57,2.179,+0.326,-0.366,0.699,+0.204,-0.398,1,WKP13
41,No.59,2.290,+0.400,-0.433,1.090,+0.165,-0.245,1,WKP13
