# From Randriamanakoto et al. (2013) https://ui.adsabs.harvard.edu/abs/2013ApJ...775L..38R/abstract 
# Observation log of the VLT/NACO and Gemini/NIRI K-band data.
# Columns explanation
#(1): IRAS survey name; 
#(2): Total exposure time; 
#(3): Luminosity distance from NED Database; 
#(4): K_S-band absolute magnitude of the brightest cluster; 
#(5): Galaxy IR luminosity from \citet{2003AJ....126.1607S}, any value marked 
#     by "estimate" is estimated by using the method described in the Results
#     section.
#(6): SFR derived from Eq. 1 Kennicutt (1998)
#
# Read with:
# >>>import pandas as pd
# >>>r13 = pd.read_csv('data/randriamanakoto13.dat', sep=',', comment='#', index_col=False)
#
Galaxy_name,Exp_time(s),D_L(Mpc),M_K_brightest(mag),log_L_IR(Lsun),SFR(Msun/yr),data_source,L_IR_estimate
ESO-440-IG058-N,2280,102.0,-15.89,10.59,6.6,VLT-NACO_DATA,estimate
IC-2522,1260,46.1,-15.52,10.63,7.3,VLT-NACO_DATA,literature
MCG-02-01-052,1860,110.0,-17.21,10.63,7.3,VLT-NACO_DATA,estimate
NGC-3620,1780,24.9,-15.65,10.70,8.5,VLT-NACO_DATA,literature
ESO-428-G023,1770,44.5,-15.51,10.76,9.8,VLT-NACO_DATA,literature
ESO-221-IG008,4620,46.7,-15.90,10.77,10.0,VLT-NACO_DATA,literature
IRAS-06164+0311,1100,41.5,-16.06,10.79,10.5,VLT-NACO_DATA,literature
NGC-1134,1240,47.4,-15.86,10.83,11.5,VLT-NACO_DATA,literature
ESO-491-G020,1200,43.5,-17.47,10.86,12.3,VLT-NACO_DATA,estimate
NGC-4433,1020,46.3,-16.39,10.87,12.6,VLT-NACO_DATA,literature
NGC-1204,1100,61.4,-17.50,10.88,12.9,VLT-NACO_DATA,literature
NGC-3508,1860,59.1,-16.42,10.90,13.5,VLT-NACO_DATA,literature
NGC-1819,1950,61.9,-17.11,10.90,13.5,VLT-NACO_DATA,literature
MCG-02-33-098,960,70.8,-15.69,10.95,15.3,VLT-NACO_DATA,estimate
NGC-4575,720,45.0,-15.62,10.96,15.5,VLT-NACO_DATA,literature
NGC-6000,2880,32.1,-16.36,10.97,15.8,VLT-NACO_DATA,literature
ESO-550-IG025-S,1950,135.0,-16.76,11.03,18.2,VLT-NACO_DATA,estimate
ESO-319-G020,960,43.2,-15.98,11.04,18.6,VLT-NACO_DATA,literature
MCG+02-02-003,2340,70.5,-16.19,11.08,20.4,VLT-NACO_DATA,literature
ESO-264-G057,1120,75.8,-17.15,11.08,20.4,VLT-NACO_DATA,literature
ESO-320-G030,1120,49.0,-15.70,11.10,21.4,VLT-NACO_DATA,literature
ESO-221-IG010,240,45.9,-17.19,11.17,25.1,VLT-NACO_DATA,literature
ESO-267-G030,1920,80.9,-16.86,11.19,26.3,VLT-NACO_DATA,literature
ESO-550-IG025-N,1950,135.0,-17.07,11.24,29.5,VLT-NACO_DATA,estimate
ESO-440-IG058-S,2280,102.0,-17.79,11.28,32.3,VLT-NACO_DATA,estimate
NGC-3110,2520,75.2,-17.74,11.31,34.7,VLT-NACO_DATA,literature
IRAS-13052-5711,3480,91.6,-16.51,11.34,37.2,VLT-NACO_DATA,literature
ESO-264-G036,2340,92.0,-17.98,11.35,38.1,VLT-NACO_DATA,literature
IRAS-12116-5615,1800,117.0,-18.42,11.59,66.1,VLT-NACO_DATA,literature
IRAS-F06076-2139,1560,160.0,-19.61,11.59,66.1,VLT-NACO_DATA,literature
IRAS-01173+1405,1320,127.0,-18.00,11.63,72.5,VLT-NACO_DATA,literature
IRAS-F01364-1042,1560,201.0,-20.01,11.76,97.8,VLT-NACO_DATA,literature
IRAS-18293-3413,1230,74.6,-18.23,11.81,109.8,VLT-NACO_DATA,literature
NGC-6240,720,103.0,-18.79,11.85,120.4,VLT-NACO_DATA,literature
IRAS-19115-2124,1410,206.0,-19.71,11.87,126.0,VLT-NACO_DATA,literature
IRAS-F16516-0948,900,94.8,-18.10,11.24,29.5,Gemini-NIRI_DATA,literature
CGCG-049-057,1680,56.4,-17.14,11.27,31.6,Gemini-NIRI_DATA,literature
IRAS-F17578-0400,1470,57.3,-17.56,11.35,38.1,Gemini-NIRI_DATA,literature
MCG+08-11-002,1140,79.9,-17.52,11.41,43.7,Gemini-NIRI_DATA,literature
IRAS-F17138-1017,990,72.2,-18.48,11.42,44.7,Gemini-NIRI_DATA,literature
NGC-3690,2192,45.3,-17.88,11.48,51.6,Gemini-NIRI_DATA,estimate
IC-694,1260,45.3,-16.95,11.66,77.4,Gemini-NIRI_DATA,estimate
IC-883,1440,101.0,-18.38,11.67,79.5,Gemini-NIRI_DATA,literature
